title,authors,abstract,year,dataname,datacode,citations,url
Predicting the Effect of Adding a Citizenship Question to the 2020 Census,J. David Brown & Misty L. Heggeness & Suzanne M. Dorinski & Lawrence Warren & Moises Yi,"The addition of a citizenship question to the 2020 census could affect the self-response rate, a key driver of the cost and quality of a census. We find that citizenship question response patterns in the American Community Survey (ACS) suggest that it is a sensitive question when asked about administrative record noncitizens but not when asked about administrative record citizens. ACS respondents who were administrative record noncitizens in 2017 frequently choose to skip the question or answer that the person is a citizen. We predict the effect on self-response to the entire survey by comparing mail response rates in the 2010 ACS, which included a citizenship question, with those of the 2010 census, which did not have a citizenship question, among households in both surveys. We compare the actual ACS-census difference in response rates for households that may contain noncitizens (more sensitive to the question) with the difference for households containing only U.S. citizens. We estimate that the addition of a citizenship question will have an 8.0 percentage point larger effect on self-response rates in households that may have noncitizens relative to those with only U.S. citizens. Assuming that the citizenship question does not affect unit self-response in all-citizen households and applying the 8.0 percentage point drop to the 28.1 % of housing units potentially having at least one noncitizen would predict an overall 2.2 percentage point drop in self-response in the 2020 census, increasing costs and reducing the quality of the population count.",2019,american community survey,ACS,4,https://ideas.repec.org/p/cen/wpaper/19-18.html
Nonemployer Statistics by Demographics (NES-D): Using Administrative and Census Records Data in Business Statistics,Adela Luque & Renuka Bhaskar & James Noon & Kevin Rinz & Victoria Udalova,"The quinquennial Survey of Business Owners or SBO provided the only comprehensive source of information in the United States on employer and nonemployer businesses by the sex, race, ethnicity and veteran status of the business owners. The annual Nonemployer Statistics series (NES) provides establishment counts and receipts for nonemployers but contains no demographic information on the business owners. With the transition of the employer component of the SBO to the Annual Business Survey, the Nonemployer Statistics by Demographics series or NES-D represents the continuation of demographics estimates for nonemployer businesses. NES-D will leverage existing administrative and census records to assign demographic characteristics to the universe of approximately 24 million nonemployer businesses (as of 2015). Demographic characteristics include key demographics measured by the SBO (sex, race, Hispanic origin and veteran status) as well as other demographics (age, place of birth and citizenship status) collected but not imputed by the SBO if missing. A spectrum of administrative and census data sources will provide the nonemployer universe and demographics information. Specifically, the nonemployer universe originates in the Business Register; the Census Numident will provide sex, age, place of birth and citizenship status; race and Hispanic origin information will be obtained from multiple years of the decennial census and the American Community Survey; and the Department of Veteran Affairs will provide administrative records data on veteran status. The use of blended data in this manner will make possible the production of NES-D, an annual series that will become the only source of detailed and comprehensive statistics on the scope, nature and activities of U.S. businesses with no paid employment by the demographic characteristics of the business owner. Using the 2015 vintage of nonemployers, initial results indicate that demographic information is available for the overwhelming majority of the universe of nonemployers. For instance, information on sex, age, place of birth and citizenship status is available for over 95 percent of the 24 million nonemployers while race and Hispanic origin are available for about 90 percent of them. These results exclude owners of C-corporations, which represent only 2 percent of nonemployer firms. Among other things, future work will entail imputation of missing demographics information (including that of C-corporations), testing the longitudinal consistency of the estimates, and expanding the set of characteristics beyond the demographics mentioned above. Without added respondent burden and at lower imputation rates and costs, NES-D will meet the needs of stakeholders as well as the economy as a whole by providing reliable estimates at a higher frequency (annual vs. every 5 years) and with a more timely dissemination schedule than the SBO.",2019,annual business survey,ABS,0,https://ideas.repec.org/p/cen/wpaper/19-01.html
Reservation Nonemployer and Employer Establishments: Data from U.S. Census Longitudinal Business Databases,Randall Akee & Elton Mykerezi & Richard M. Todd,"The presence of businesses on American Indian reservations has been difficult to analyze due to limited data. Akee, Mykerezi, and Todd (AMT; 2017) geocoded confidential data from the U.S. Census Longitudinal Business Database to identify whether employer establishments were located on or off American Indian reservations and then compared federally recognized reservations and nearby county areas with respect to their per capita number of employers and jobs. We use their methods and the U.S. Census Integrated Longitudinal Business Database to develop parallel results for nonemployer establishments and for the combination of employer and nonemployer establishments. Similar to AMT’s findings, we find that reservations and nearby county areas have a similar sectoral distribution of nonemployer and nonemployer-plus-employer establishments, but reservations have significantly fewer of them in nearly all sectors, especially when the area population is below 15,000. By contrast to AMT, the average size of reservation nonemployer establishments, as measured by revenue (instead of the jobs measure AMT used for employers), is smaller than the size of nonemployers in nearby county areas, and this is true in most industries as well. The most significant exception is in the retail sector. Geographic and demographic factors, such as population density and per capita income, statistically account for only a small portion of these differences. However, when we assume that nonemployer establishments create the equivalent of one job and use combined employer-plus-nonemployer jobs to measure establishment size, the employer job numbers dominate and we parallel AMT’s finding that, due to large job counts in the Arts/Entertainment/Recreation and Public Administration sectors, reservations on average have slightly more jobs per resident than nearby county areas.",2018,longitudinal business database,LBDREV,1,https://ideas.repec.org/p/cen/wpaper/18-50.html
Older and Slower: The Startup Deficit’s Lasting Effects on Aggregate Productivity Growth,Titan Alon & David Berger & Robert Dent & Benjamin Pugsley,"We investigate the link between declining firm entry, aging incumbent firms and sluggish U.S. productivity growth. We provide a dynamic decomposition framework to characterize the contributions to industry productivity growth across the firm age distribution and apply this framework to the newly developed Revenue-enhanced Longitudinal Business Database (ReLBD). Overall, several key findings emerge: (i) the relationship between firm age and productivity growth is downward sloping and convex; (ii) the magnitudes are substantial and significant but fade quickly, with nearly 2/3 of the effect disappearing after five years and nearly the entire effect disappearing after ten; (iii) the higher productivity growth of young firms is driven nearly exclusively by the forces of selection and reallocation. Our results suggest a cumulative drag on aggregate productivity of 3.1% since 1980. Using an instrumental variables strategy we find a consistent pattern across states/MSAs in the U.S. The patterns are broadly consistent with a standard model of firm dynamics with monopolistic competition.",2018,longitudinal business database,LBDREV,56,https://ideas.repec.org/p/cen/wpaper/18-29.html
Individual Social Capital and Migration,Julie L. Hotchkiss & Anil Rupasingha,"This paper determines how individual, relative to community social capital affects individual migration decisions. We make use of non-public data from the Social Capital Community Benchmark Survey to predict multi-dimensional social capital for observations in the Current Population Survey. We find evidence that individuals are much less likely to have moved to a community with average social capital levels lower than their own and that higher levels of community social capital act as positive pull-factor amenities. The importance of that amenity differs across urban/rural locations. We also confirm that higher individual social capital is a negative predictor of migration.",2018,current population survey,CPS,11,https://ideas.repec.org/p/cen/wpaper/18-14.html
Who are the people in my neighborhood? The ‘contextual fallacy’ of measuring individual context with census geographies,Christopher S. Fowler & Nathan Frey & David C. Folch & Nicholas Nagle & Seth Spielman,"Scholars deploy census-based measures of neighborhood context throughout the social sciences and epidemiology. Decades of research confirm that variation in how individuals are aggregated into geographic units to create variables that control for social, economic or political contexts can dramatically alter analyses. While most researchers are aware of the problem, they have lacked the tools to determine its magnitude in the literature and in their own projects. By using confidential access to the complete 2010 U.S. Decennial Census, we are able to construct—for all persons in the US—individual-specific contexts, which we group according to the Census-assigned block, block group, and tract. We compare these individual-specific measures to the published statistics at each scale, and we then determine the magnitude of variation in context for an individual with respect to the published measures using a simple statistic, the standard deviation of individual context (SDIC). For three key measures (percent Black, percent Hispanic, and Entropy—a measure of ethno-racial diversity), we find that block-level Census statistics frequently do not capture the actual context of individuals within them. More problematic, we uncover systematic spatial patterns in the contextual variables at all three scales. Finally, we show that within-unit variation is greater in some parts of the country than in others. We publish county-level estimates of the SDIC statistics that enable scholars to assess whether mis-specification in context variables is likely to alter analytic findings when measured at any of the three common Census units.",2018,decennial census,CEN,1,https://ideas.repec.org/p/cen/wpaper/18-11.html
Social Influence and the Consumer Bankruptcy Decision,Jonathan D. Fisher,"I examine the influence of neighbors on the consumer bankruptcy decision using administrative bankruptcy records linked the 2000 Decennial Census. Two empirical strategies remove unobserved common factors that affect identification. The first strategy uses small geographical areas to isolate neighborhood effects, and the second strategy identifies the effect using past bankruptcy filers who moved states. The findings from both strategies reinforce each other and confirm the role of social influence on the bankruptcy decision. Having a past bankruptcy filer move into the block from a different state increases the likelihood of filing by 10 percent.",2017,decennial census,CEN,0,https://ideas.repec.org/p/cen/wpaper/17-60.html
Reservation Employer Establishments: Data from the U.S. Census Longitudinal Business Database,Randall Akee & Elton Mykerezi & Richard M. Todd,"The presence of employers and jobs on American Indian reservations has been difficult to analyze due to limited data. We are the first to geocode confidential data on employer establishments from the U.S. Census Longitudinal Business Database to identify location on or off American Indian reservations. We identify the per capita establishment count and jobs in reservation-based employer establishments for most federally recognized reservations. Comparisons to nearby non-reservation areas in the lower 48 states across 18 industries reveal that reservations have a similar sectoral distribution of employer establishments but have significantly fewer of them in nearly all sectors, especially when the area population is below 15,000 (as it is on the vast majority of reservations and for the majority of the reservation population). By contrast, the total number of jobs provided by reservation establishments is, on average, at par with or somewhat higher than in nearby county areas but is concentrated among casino-related and government employers. An implication is that average job numbers per establishment are higher in these sectors on reservations, including those with populations below 15,000, while the remaining industries are typically sparser within reservations (in firm count and jobs per capita). Geographic and demographic factors, such as population density and per capita income, statistically account for some but not all of these differences.",2017,longitudinal business database,LBDREV,3,https://ideas.repec.org/p/cen/wpaper/17-57.html
The Potential for Using Combined Survey and Administrative Data Sources to Study Internal Labor Migration,Christopher F. Goetz,"This paper introduces a novel data set combining survey data from the American Community Survey (ACS) with administrative data on employment from the Longitudinal Employer-Household Dynamics program, in order to study geographic labor mobility. With its rich set of information about individuals at the time of the migration decision, large sample size, and near-comprehensive ability to detect labor mobility, the new combined ACS-LEHD data offers several advantages over the existing data sets that are typically used in the study of migration, such as the Decennial Census, Current Population Survey, and Internal Revenue Service data. An overview of how these different data sets can be employed, and examples demonstrating the usefulness of the newly proposed data set, are provided. Aggregate statistics and stylized facts are generated from the ACS-LEHD data which reveal many of the same features as the existing data sets, including the decline of aggregate mobility throughout the past decade, as well as many of the known demographic differences in migration propensity.",2017,american community survey,ACS,0,https://ideas.repec.org/p/cen/wpaper/17-55.html
A Comparison of Training Modules for Administrative Records Use in Nonresponse Followup Operations: The 2010 Census and the American Community Survey,Melissa C. Chow & Hubert P. Janicki & Mark J. Kutzbach & Lawrence F. Warren & Moises Yi,"While modeling work in preparation for the 2020 Census has shown that administrative records can be predictive of Nonresponse Followup (NRFU) enumeration outcomes, there is scope to examine the robustness of the models by using more recent training data. The models deployed for workload removal from the 2015 and 2016 Census Tests were based on associations of the 2010 Census with administrative records. Training the same models with more recent data from the American Community Survey (ACS) can identify any changes in parameter associations over time that might reduce the accuracy of model predictions. Furthermore, more recent training data would allow for the incorporation of new administrative record sources not available in 2010. However, differences in ACS methodology and the smaller sample size may limit its applicability. This paper replicates earlier results and examines model predictions based on the ACS in comparison with NRFU outcomes. The evaluation consists of a comparison of predicted counts and household compositions with actual 2015 NRFU outcomes. The main findings are an overall validation of the methodology using independent data.",2017,american community survey,ACS,2,https://ideas.repec.org/p/cen/wpaper/17-47.html
File Matching with Faulty Continuous Matching Variables,Nicole M. Dalzell & Jerome P. Reiter & Gale Boyd,"We present LFCMV, a Bayesian file linking methodology designed to link records using continuous matching variables in situations where we do not expect values of these matching variables to agree exactly across matched pairs. The method involves a linking model for the distance between the matching variables of records in one file and the matching variables of their linked records in the second. This linking model is conditional on a vector indicating the links. We specify a mixture model for the distance component of the linking model, as this latent structure allows the distance between matching variables in linked pairs to vary across types of linked pairs. Finally, we specify a model for the linking vector. We describe the Gibbs sampling algorithm for sampling from the posterior distribution of this linkage model and use artificial data to illustrate model performance. We also introduce a linking application using public survey information and data from the U.S. Census of Manufactures and use LFCMV to link the records.",2017,census of manufactures,CMF,0,https://ideas.repec.org/p/cen/wpaper/17-45.html
Decennial Census Return Rates: The Role of Social Capital,Julie L. Hotchkiss,"This paper explores how useful information about social and civic engagement (social capital) might be to the U.S. Census Bureau in their efforts to improve predictions of mail return rates for the Decennial Census (DC) at the census tract level. Through construction of Hard-to-count (HRC) scores and multivariate analysis, we find that if information about social capital were available, predictions of response rates would be marginally improved.",2017,decennial census,CEN,1,https://ideas.repec.org/p/cen/wpaper/17-39.html
Revisiting the Economics of Privacy: Population Statistics and Confidentiality Protection as Public Goods,John M. Abowd & Ian M. Schmutte,"We consider the problem of determining the optimal accuracy of public statistics when increased accuracy requires a loss of privacy. To formalize this allocation problem, we use tools from statistics and computer science to model the publication technology used by a public statistical agency. We derive the demand for accurate statistics from first principles to generate interdependent preferences that account for the public-good nature of both data accuracy and privacy loss. We first show data accuracy is inefficiently undersupplied by a private provider. Solving the appropriate social planner’s problem produces an implementable publication strategy. We implement the socially optimal publication plan for statistics on income and health status using data from the American Community Survey, National Health Interview Survey, Federal Statistical System Public Opinion Survey and Cornell National Social Survey. Our analysis indicates that welfare losses from providing too much privacy protection and, therefore, too little accuracy can be substantial.",2017,american community survey,ACS,4,https://ideas.repec.org/p/cen/wpaper/17-37.html
Two Perspectives on Commuting: A Comparison of Home to Work Flows Across Job-Linked Survey and Administrative Files,Andrew S. Green & Mark J. Kutzbach & Lars Vilhuber,"Commuting flows and workplace employment data have a wide constituency of users including urban and regional planners, social science and transportation researchers, and businesses. The U.S. Census Bureau releases two, national data products that give the magnitude and characteristics of home to work flows. The American Community Survey (ACS) tabulates households’ responses on employment, workplace, and commuting behavior. The Longitudinal Employer-Household Dynamics (LEHD) program tabulates administrative records on jobs in the LEHD Origin-Destination Employment Statistics (LODES). Design differences across the datasets lead to divergence in a comparable statistic: county-to-county aggregate commute flows. To understand differences in the public use data, this study compares ACS and LEHD source files, using identifying information and probabilistic matching to join person and job records. In our assessment, we compare commuting statistics for job frames linked on person, employment status, employer, and workplace and we identify person and job characteristics as well as design features of the data frames that explain aggregate differences. We find a lower rate of within-county commuting and farther commutes in LODES. We attribute these greater distances to differences in workplace reporting and to uncertainty of establishment assignments in LEHD for workers at multi-unit employers. Minor contributing factors include differences in residence location and ACS workplace edits. The results of this analysis and the data infrastructure developed will support further work to understand and enhance commuting statistics in both datasets.",2017,american community survey,ACS,8,https://ideas.repec.org/p/cen/wpaper/17-34.html
Has Falling Crime Invited Gentrification?,Ingrid Gould Ellen & Keren Mertens Horn & Davin Reed,"Over the past two decades, crime has fallen dramatically in cities in the United States. We explore whether, in the face of falling central city crime rates, households with more resources and options were more likely to move into central cities overall and more particularly into low income and/or majority minority central city neighborhoods. We use confidential, geocoded versions of the 1990 and 2000 Decennial Census and the 2010, 2011, and 2012 American Community Survey to track moves to different neighborhoods in 244 Core Based Statistical Areas (CBSAs) and their largest central cities. Our dataset includes over four million household moves across the three time periods. We focus on three household types typically considered gentrifiers: high-income, college-educated, and white households. We find that declines in city crime are associated with increases in the probability that highincome and college-educated households choose to move into central city neighborhoods, including low-income and majority minority central city neighborhoods. Moreover, we find little evidence that households with lower incomes and without college degrees are more likely to move to cities when violent crime falls. These results hold during the 1990s as well as the 2000s and for the 100 largest metropolitan areas, where crime declines were greatest. There is weaker evidence that white households are disproportionately drawn to cities as crime falls in the 100 largest metropolitan areas from 2000 to 2010.",2017,american community survey,ACS,8,https://ideas.repec.org/p/cen/wpaper/17-27.html
Examining Multi-Level Correlates of Suicide by Merging NVDRS and ACS Data,David A Boulifard & Bernice A Pescosolido,"This paper describes a novel database and an associated suicide event prediction model that surmount longstanding barriers in suicide risk factor research. The database comingles person-level records from the National Violent Death Reporting System (NVDRS) and the American Community Survey (ACS) to establish a case-control study sample that includes all identified suicide cases, while faithfully reflecting general population sociodemographics, in sixteen USA states during the years 2005 2011. It supports a statistical model of individual suicide risk that accommodates person-level factors and the moderation of these factors by their community rates. Named the United States Multi-Level Suicide Data Set (US-MSDS), the database was developed outside the RDC laboratory using publicly available ACS microdata, and reconstructed inside the laboratory using restricted access ACS microdata. Analyses of the latter version yielded findings that largely amplified but also extended those obtained from analyses of the former. This experience shows that the analytic precision achievable using restricted access ACS data can play an important role in conducting social research, although it also indicates that publicly available ACS data have considerable value in conducting preliminary analyses and preparing to use an RDC laboratory. The database development strategy may interest scientists investigating sociodemographic risk factors for other types of low-frequency mortality.",2017,american community survey,ACS,0,https://ideas.repec.org/p/cen/wpaper/17-25.html
"R&D, Attrition and Multiple Imputation in BRDIS",Juana Sanchez & Sydney Noelle Kahmann,"Multiple imputation in business establishment surveys like BRDIS, an annual business survey in which some companies are sampled every year or multiple years, may enhance the estimates of total R&D in addition to helping researchers estimate models with subpopulations of small sample size. Considering a panel of BRDIS companies throughout the years 2008 to 2013 linked to LBD data, this paper uses the conclusions obtained with missing data visualization and other explorations to come up with a strategy to conduct multiple imputation appropriate to address the item nonresponse in R&D expenditures. Because survey design characteristics are behind much of the item and unit nonresponse, multiple imputation of missing data in BRDIS changes the estimates of total R&D significantly and alters the conclusions reached by models of the determinants of R&D investment obtained with complete case analysis.",2017,annual business survey,ABS,0,https://ideas.repec.org/p/cen/wpaper/17-13.html
Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,Satkartar K. Kinney & Alan F. Karr,"Statistical agencies frequently publish microdata that have been altered to protect confidentiality. Such data retain utility for many types of broad analyses but can yield biased or Insufficiently precise results in others. Research access to de-identified versions of the restricted-use data with little or no alteration is often possible, albeit costly and time-consuming. We investigate the the advantages and disadvantages of public-use and restricted-use data from the American Community Survey (ACS) in constructing a wage index. The public-use data used were Public Use Microdata Samples, while the restricted-use data were accessed via a Federal Statistical Research Data Center. We discuss the advantages and disadvantages of each data source and compare estimated CWIs and standard errors at the state and labor market levels.",2017,american community survey,ACS,0,https://ideas.repec.org/p/cen/wpaper/17-12.html
Making a Motivated Manager: A Census Data Investigation into Efficiency Differences Between Franchisee and Franchisor-Owned Restaurants,Matthew Sveum & Michael Sykuta,"While there has been significant research on the reasons for franchising, little work has examined the effects of franchising on establishment performance. This paper attempts to fill that gap. We use restricted-access US Census Bureau microdata from the 2007 Census of Retail Trade to examine establishment-level productivity of franchisee- and franchisor-owned restaurants. We do this by employing a two-stage data envelopment analysis model where the first stage uses DEA to measure each establishment’s efficiency. The DEA efficiency score is then used as the second-stage dependent variable. The results show a strong and robust effect attributed to franchisee ownership for full service restaurants, but a smaller and insignificant difference for limited service restaurants. We believe the differences in task programability between limited and full service restaurants results in a very different role for managers/franchisees and is the driving factor behind the different results.",2016,census of retail trade,CRT,0,https://ideas.repec.org/p/cen/wpaper/16-54.html
Are firm-level idiosyncratic shocks important for U.S. aggregate volatility?,Chen Yeh,"This paper assesses the quantitative impact of firm-level idiosyncratic shocks on aggregate volatility in the U.S. economy and provides a microfoundation for the negative relationship between firm-level volatility and size. I argue that the role of firm-specific shocks through the granular channel plays a fairly limited role in the U.S. economy. Using a novel, comprehensive data set compiled from several sources of the U.S. Census Bureau, I find that the granular com-ponent accounts at most for 15.5% of the variation in aggregate sales growth which is about half found by previous studies. To bridge the gap between previous findings and mine, I show that my quantitative results require deviations from Gibrat’s law in which firm-level volatility and size are negatively related. I find that firm-level volatility declines at a substantially higher rate in size than previously found. Hence, the largest firms in the economy cannot be driving a sub-stantial fraction of macroeconomic volatility. I show that the explanatory power of granularity gets cut by at least half whenever the size-variance relationship, as estimated in the micro-level data, is taken into account. To uncover the economic mechanism behind this phenomenon, I construct an analytically tractable framework featuring random growth and a Kimball aggrega-tor. Under this setup, larger firms respond less to productivity shocks as the elasticity of demand is decreasing in size. Additionally, the model predicts a positive (negative) relationship between firm-level mark-ups (growth) and size. I confirm the predictions of the model by estimating size-varying price elasticities on unique product-level data from the Census of Manufactures (CM) and structurally estimating mark-ups using plant-level information from the Annual Survey of Manufactures (ASM).",2016,annual survey of manufactures,ASM,1,https://ideas.repec.org/p/cen/wpaper/16-47.html
Wage Determination in Social Occupations: the Role of Individual Social Capital,Julie L. Hotchkiss & Anil Rupasingha,"We make use of predicted social and civic activities (social capital) to account for selection into ""social"" occupations. Individual selection accounts for more than the total difference in wages observed between social and non-social occupations. The role that individual social capital plays in selecting into these occupations and the importance of selection in explaining wage differences across occupations is similar for both men and women. We make use of restricted 2000 Decennial Census and 2000 Social Capital Community Benchmark Survey. Individual social capital is instrumented by distance weighted surrounding census tract characteristics.",2016,decennial census,CEN,0,https://ideas.repec.org/p/cen/wpaper/16-46.html
Introduction of Head Start and Maternal Labor Supply: Evidence from a Regression Discontinuity Design,Cuiping Long,"I use the non-public decennial censuses in 1970 to investigate the effect of the Head Start program on maternal labor supply and schooling in its early years. I exploit a discontinuity in county-level Head Start funding beginning in the late 1960s to explore differences in countylevel maternal employment and maternal schooling. The results provide suggestive evidence that the more availability of Head Start led to an increase the nursery school enrollment of children and a decrease in maternal labor supply. In addition, the ITT estimates imply a relatively large, negative effect of enrollment on maternal labor supply. However, the estimates are somewhat sensitive to addition of covariates and the standard errors are also large to draw firm inferences.",2016,decennial census,CEN,4,https://ideas.repec.org/p/cen/wpaper/16-35.html
"Black Pioneers, Intermetropolitan Movers, and Housing Desegregation",Yana Kucheva & Richard Sander,"In this project, we examine the mobility choices of black households between 1960 and 2000. We use household-level Decennial Census data geocoded down to the census tract level. Our results indicate that, for black households, one’s status as an intermetropolitan migrant – especially from an urban area outside the South – is a powerful predictor of pioneering into a white neighborhood. Moreover, and perhaps even more importantly, the ratio of these intermetropolitan black arrivals to the incumbent metropolitan black population is a powerful predictor of whether a metropolitan area experiences substantial declines in housing segregation.",2016,decennial census,CEN,1,https://ideas.repec.org/p/cen/wpaper/16-23.html
The Shifting Job Tenure Distribution,Henry R. Hyatt & James R. Spletzer,"There has been a shift in the U.S. job tenure distribution toward longer-duration jobs since 2000. This change is apparent both in the tenure supplements to the Current Population Survey and in matched employer-employee data. A substantial portion of this shift can be accounted for by the ageing of the workforce and the decline in the entry rate of new employer businesses. This shift is accounted for more by declines in the hiring rate, which are concentrated in the labor market downturns associated with the 2001 and 2007-2009 recessions, rather than declines in separation rates. The increase in average real earnings since 2007 is less than what would be predicted by the shift toward longer-tenure jobs because of declines in tenure-held-constant real earnings. Regression estimates of the returns to job tenure provide no evidence that the shift in the job tenure distribution is being driven by better matches between workers and employers.",2016,current population survey,CPS,20,https://ideas.repec.org/p/cen/wpaper/16-12.html
Cheap Imports and the Loss of U.S. Manufacturing Jobs,Abigail Cooke & Thomas Kemeny & David L. Rigby,"This paper examines the role of international trade, and specifically imports from low-wage countries, in determining patterns of job loss in U.S. manufacturing industries between 1992 and 2007. Motivated by intuitions from factor-proportions-inspired work on offshoring and heterogeneous firms in trade, we build industry-level measures of import competition. Combining worker data from the Longitudinal Employer-Household Dynamics dataset, detailed establishment information from the Census of Manufactures, and transaction-level trade data, we find that rising import competition from China and other developing economies increases the likelihood of job loss among manufacturing workers with less than a high school degree; it is not significantly related to job losses for workers with at least a college degree.",2016,census of manufactures,CMF,7,https://ideas.repec.org/p/cen/wpaper/16-05.html
Simultaneous Edit-Imputation for Continuous Microdata,Hang J. Kim & Lawrence H. Cox & Alan F. Karr & Jerome P. Reiter & Quanli Wang,"Many statistical organizations collect data that are expected to satisfy linear constraints; as examples, component variables should sum to total variables, and ratios of pairs of variables should be bounded by expert-specified constants. When reported data violate constraints, organizations identify and replace values potentially in error in a process known as edit-imputation. To date, most approaches separate the error localization and imputation steps, typically using optimization methods to identify the variables to change followed by hot deck imputation. We present an approach that fully integrates editing and imputation for continuous microdata under linear constraints. Our approach relies on a Bayesian hierarchical model that includes (i) a flexible joint probability model for the underlying true values of the data with support only on the set of values that satisfy all editing constraints, (ii) a model for latent indicators of the variables that are in error, and (iii) a model for the reported responses for variables in error. We illustrate the potential advantages of the Bayesian editing approach over existing approaches using simulation studies. We apply the model to edit faulty data from the 2007 U.S. Census of Manufactures. Supplementary materials for this article are available online.",2015,census of manufactures,CMF,3,https://ideas.repec.org/p/cen/wpaper/15-44.html
Water Use and Conservation in Manufacturing: Evidence from U.S. Microdata,Randy A. Becker,"Water can be a scarce resource, particularly in certain places at certain times. Understanding both water use and conservation efforts can help ensure that limited supplies can meet the demands of a growing population and economy. This paper examines water use and recirculation in the U.S. manufacturing sector, using newly recovered microdata from the Survey of Water Use in Manufacturing, merged with establishment-level data from the Annual Survey of Manufactures and the Census of Manufactures. Results suggest that water use per unit of output is largest for larger establishments, in part because larger establishments use water for more purposes. Larger establishments are also found to recirculate water more — satisfying demand (water use) without necessarily increasing water intake. Various costs also appear to play a role in water recirculation. In particular, the water circulation rate is found to be higher when water is purchased from a utility. Relatively low (internal) prices for self-supplied water could suppress the incentive to invest in recirculation. Meanwhile, establishments with higher per-gallon intake treatment costs also recirculate more, as might be expected. The cost associated with water discharge – due to regulation or otherwise – also increases circulation rates. The aridity of a locale is found to have little effect on circulation rates.",2015,annual survey of manufactures,ASM,1,https://ideas.repec.org/p/cen/wpaper/15-16.html
Design Comparison of LODES and ACS Commuting Data Products,Matthew R. Graham & Mark J. Kutzbach & Brian McKenzie,"The Census Bureau produces two complementary data products, the American Community Survey (ACS) commuting and workplace data and the Longitudinal Employer-Household Dynamics (LEHD) Origin-Destination Employment Statistics (LODES), which can be used to answer questions about spatial, economic, and demographic questions relating to workplaces and home-to-work flows. The products are complementary in the sense that they measure similar activities but each has important unique characteristics that provide information that the other measure cannot. As a result of questions from data users, the Census Bureau has created this document to highlight the major design differences between these two data products. This report guides users on the relative advantages of each data product for various analyses and helps explain differences that may arise when using the products.2,3 As an overview, these two data products are sourced from different inputs, cover different populations and time periods, are subject to different sets of edits and imputations, are released under different confidentiality protection mechanisms, and are tabulated at different geographic and characteristic levels. As a general rule, the two data products should not be expected to match exactly for arbitrary queries and may differ substantially for some queries. Within this document, we compare the two data products by the design elements that were deemed most likely to contribute to differences in tabulated data. These elements are: Collection, Coverage, Geographic and Longitudinal Scope, Job Definition and Reference Period, Job and Worker Characteristics, Location Definitions (Workplace and Residence), Completeness of Geographic Information and Edits/Imputations, Geographic Tabulation Levels, Control Totals, Confidentiality Protection and Suppression, and Related Public-Use Data Products. An in-depth data analysis—in aggregate or with the microdata—between the two data products will be the subject of a future technical report. The Census Bureau has begun a pilot project to integrate ACS microdata with LEHD administrative data to develop an enhanced frame of employment status, place of work, and commuting. The Census Bureau will publish quality metrics for person match rates, residence and workplace match rates, and commute distance comparisons.",2014,american community survey,ACS,36,https://ideas.repec.org/p/cen/wpaper/14-38.html
Owner Characteristics And Firm Performance During The Great Recession,Ron Jarmin & C.J. Krizan & Adela Luque,"Minority owned businesses are an increasing important component of the U.S. economy, growing at twice the rate of all U.S. businesses between 2002 and 2007. However, a growing literature indicates that minority-owned businesses may have been especially impacted by the Great Recession. As house prices declined, foreclosures fell disproportionately on urban minority neighborhoods and one of the sources of credit for business owners was severely constrained. Using 2002-2011 data from the Longitudinal Business Database linked to the 2002 Survey of Business Owners, this paper adds to the literature by examining the employment growth and survival of minority and women employer businesses during the last decade, including the Great Recession. At first glance, our preliminary findings suggest that black and women-owned businesses underperform white, male-owned businesses, that Asian-owned businesses outperform other groups, and that Hispanic-owned businesses outperform non-Hispanic ones in regards to employment growth. However, when we look only at continuing firms, black-owned businesses outperform white-owned businesses in terms of employment growth. At the same time, we also find that the recession appears to have impacted black-owned and Hispanic-owned businesses more severely than their counterparts, in terms of employment growth as well as survival. This is also the case for continuing black and Hispanic-owned firms.",2014,longitudinal business database,LBDREV,6,https://ideas.repec.org/p/cen/wpaper/14-36.html
